headline,summary,video_link
Chutzpah,“Life is either a daring adventure or nothing at all.”,https://agarwalshalini.wordpress.com/wp-content/uploads/2020/11/harshad_p.jpg?w=1568
Out of the ordinary,“I think we forget things if we have no one to tell them to.”,https://agarwalshalini.wordpress.com/wp-content/uploads/2020/09/lunchbox2.jpg?w=1568
Lessons drawn,“Life is a succession of lessons which must be lived to be understood.”,https://agarwalshalini.wordpress.com/wp-content/uploads/2020/07/pexels-photo-54379.jpeg?w=1568
Larger-than-life,"“You don’t always need a plan. Sometimes you just need to breathe, trust, let go, and see what happens.”",https://agarwalshalini.wordpress.com/wp-content/uploads/2020/06/img-20190220-wa0009.jpg?w=780
Cheerio,"“Don’t cry because it’s over, smile because it happened.”",https://agarwalshalini.wordpress.com/wp-content/uploads/2020/06/photogrid_1591464773691.jpg?w=1568
Midnight Blues,“Every cloud has a silver lining.”,https://agarwalshalini.wordpress.com/wp-content/uploads/2020/05/pexels-photo-4108271.jpeg?w=1568
Artistic Connotations,"“A tale may have exactly three beginnings: one for the audience, one for the artist, and one for the poor bastard who has to live in it.”",https://agarwalshalini.wordpress.com/wp-content/uploads/2020/05/thappad-e1590522389315.jpg?w=1079
Inflated Indifference,"“You don’t stop laughing when you grow old, you grow old when you stop laughing.“",https://agarwalshalini.wordpress.com/wp-content/uploads/2020/01/pexels-photo-744912.jpeg?w=1568
Literary Extravaganza,"“Literature is where I go to explore the highest and lowest places in human society and in the human spirit, where I hope to find not absolute truth but the truth of the tale, of the imagination and of the heart.”",https://agarwalshalini.wordpress.com/wp-content/uploads/2020/01/pexels-photo-1269968.jpeg?w=1568
Fixated, ‘We will only grow as big as we dream that’s why we must dream big.’ ,https://agarwalshalini.wordpress.com/wp-content/uploads/2019/12/sport-treadmill-tor-route-163444.jpeg?w=1568
